image;X;Y;issues
spotassay_079_03.jpg;27;212;False
spotassay_080_00.jpg;50;107;False
spotassay_080_01.jpg;51;111;False
spotassay_080_02.jpg;79;88;False
spotassay_080_03.jpg;90;348;False
spotassay_081_00.jpg;63;136;False
spotassay_081_01.jpg;76;126;False
spotassay_081_02.jpg;74;152;False
spotassay_081_03.jpg;59;211;False
spotassay_082_00.jpg;73;101;False
spotassay_082_01.jpg;46;170;False
spotassay_082_02.jpg;49;56;False
spotassay_082_03.jpg;90;199;False
spotassay_083_00.jpg;86;107;False
spotassay_083_01.jpg;34;129;False
spotassay_083_02.jpg;56;159;True
spotassay_083_03.jpg;40;234;False
spotassay_084_00.jpg;96;105;False
spotassay_084_01.jpg;56;107;False
spotassay_084_02.jpg;34;167;False
spotassay_084_03.jpg;53;227;False
spotassay_085_00.jpg;60;108;False
spotassay_085_01.jpg;92;143;False
spotassay_085_02.jpg;54;179;False
spotassay_085_03.jpg;95;232;False
spotassay_086_00.jpg;64;104;False
spotassay_086_01.jpg;57;160;False
spotassay_086_02.jpg;11;134;False
spotassay_086_03.jpg;49;195;False
spotassay_087_00.jpg;77;146;False
spotassay_087_01.jpg;62;137;False
spotassay_087_02.jpg;30;163;False
spotassay_087_03.jpg;63;229;False
spotassay_088_00.jpg;72;143;False
spotassay_088_01.jpg;60;100;False
spotassay_088_02.jpg;15;169;False
spotassay_088_03.jpg;83;214;False
spotassay_089_00.jpg;83;93;False
spotassay_089_01.jpg;63;120;False
spotassay_089_02.jpg;40;196;False
spotassay_089_03.jpg;56;221;False
spotassay_090_00.jpg;78;70;False
spotassay_090_01.jpg;49;156;False
spotassay_090_02.jpg;33;79;False
spotassay_090_03.jpg;84;198;False
spotassay_091_00.jpg;75;111;False
spotassay_091_01.jpg;65;150;False
spotassay_091_02.jpg;22;164;False
spotassay_091_03.jpg;47;219;False
spotassay_092_00.jpg;61;128;False
spotassay_092_01.jpg;44;148;False
spotassay_092_02.jpg;50;214;False
spotassay_092_03.jpg;51;260;False
spotassay_093_00.jpg;41;139;False
spotassay_093_01.jpg;53;183;False
spotassay_093_02.jpg;54;438;False
spotassay_093_03.jpg;27;240;False
spotassay_094_00.jpg;71;79;False
spotassay_094_01.jpg;60;131;False
spotassay_094_02.jpg;37;89;False
spotassay_094_03.jpg;68;248;False
spotassay_095_00.jpg;32;131;False
spotassay_095_01.jpg;49;151;False
spotassay_095_02.jpg;53;68;False
spotassay_095_03.jpg;67;75;False
spotassay_096_00.jpg;65;155;False
spotassay_096_01.jpg;79;164;False
spotassay_096_02.jpg;79;426;False
spotassay_096_03.jpg;39;235;False
spotassay_097_00.jpg;37;114;False
spotassay_097_01.jpg;61;164;False
spotassay_097_02.jpg;24;73;False
spotassay_097_03.jpg;48;253;False
spotassay_098_00.jpg;67;60;False
spotassay_098_01.jpg;82;148;False
spotassay_098_02.jpg;17;200;False
spotassay_098_03.jpg;58;231;False
spotassay_099_00.jpg;78;104;False
spotassay_099_01.jpg;58;135;False
spotassay_099_02.jpg;56;213;False
spotassay_099_03.jpg;40;247;False
spotassay_100_00.jpg;53;77;False
spotassay_100_01.jpg;55;185;False
spotassay_100_02.jpg;64;247;False
spotassay_100_03.jpg;32;236;False
spotassay_101_00.jpg;34;46;False
spotassay_101_01.jpg;83;104;False
spotassay_101_02.jpg;71;167;False
spotassay_101_03.jpg;46;211;False
spotassay_102_00.jpg;27;54;False
spotassay_102_01.jpg;23;35;False
spotassay_102_02.jpg;41;80;False
spotassay_102_03.jpg;28;90;False
spotassay_103_00.jpg;63;96;False
spotassay_103_01.jpg;30;97;False
spotassay_103_02.jpg;90;204;False
spotassay_103_03.jpg;28;273;False
spotassay_104_00.jpg;60;59;False
spotassay_104_01.jpg;77;90;False
spotassay_104_02.jpg;55;181;False
spotassay_104_03.jpg;50;231;False
spotassay_105_00.jpg;77;15;False
spotassay_105_01.jpg;53;100;False
spotassay_105_02.jpg;30;233;False
spotassay_105_03.jpg;53;226;False
spotassay_106_00.jpg;50;88;False
spotassay_106_01.jpg;74;98;False
spotassay_106_02.jpg;58;155;False
spotassay_106_03.jpg;55;219;False
spotassay_107_00.jpg;70;35;False
spotassay_107_01.jpg;90;158;False
spotassay_107_02.jpg;76;179;False
spotassay_107_03.jpg;39;247;False
spotassay_108_00.jpg;42;38;False
spotassay_108_01.jpg;65;132;False
spotassay_108_02.jpg;97;221;False
spotassay_108_03.jpg;9;116;False
spotassay_109_00.jpg;61;81;False
spotassay_109_01.jpg;68;155;False
spotassay_109_02.jpg;43;91;False
spotassay_109_03.jpg;48;211;False
spotassay_10a.png;83;295;False
spotassay_10b.png;65;273;False
spotassay_10c.png;90;272;False
spotassay_10d.png;89;217;False
spotassay_110_00.jpg;2;156;False
spotassay_110_01.jpg;77;100;False
spotassay_110_02.jpg;2;98;False
spotassay_110_03.jpg;60;57;False
spotassay_111_00.jpg;35;199;False
spotassay_111_01.jpg;63;121;False
spotassay_111_02.jpg;17;104;False
spotassay_111_03.jpg;38;91;False
spotassay_112_00.jpg;74;134;False
spotassay_112_01.jpg;84;150;False
spotassay_112_02.jpg;40;93;False
spotassay_112_03.jpg;31;98;False
spotassay_113_00.jpg;71;90;False
spotassay_113_01.jpg;48;83;False
spotassay_113_02.jpg;77;80;False
spotassay_113_03.jpg;64;111;False
spotassay_114_00.jpg;83;108;False
spotassay_114_01.jpg;71;173;False
spotassay_114_02.jpg;58;100;False
spotassay_114_03.jpg;31;111;False
spotassay_115_00.jpg;58;116;False
spotassay_115_01.jpg;61;74;False
spotassay_115_02.jpg;61;88;False
spotassay_115_03.jpg;61;107;False
spotassay_116_00.jpg;77;121;False
